name,bbref_link,bbref_id,career_ppg,birth_location,birth_country,birth_state,birth_city,start_year,end_year,high_school_state,high_school_city,high_school_name,all_star_appearances,Location,Latitude,Longitude
Vincenzo Esposito,/players/e/esposvi01.html,esposvi01,3.9,Italy,IT,,Caserta,1996,1996,,,,0
Danilo Gallinari,/players/g/gallida01.html,gallida01,16.2,Italy,IT,,Sant'Angelo Lodigiano,2009,2020,,,,0
Reggie Jackson,/players/j/jacksre01.html,jacksre01,12.9,Italy,IT,,Pordenone,2012,2020,Colorado,Colorado Springs,Palmer,0
Nicolò Melli,/players/m/mellini01.html,mellini01,6.8,Italy,IT,,Reggio Emilia,2020,2020,,,,0
Stefano Rusconi,/players/r/ruscost01.html,ruscost01,1.1,Italy,IT,,Bassano del Grappa,1996,1996,,,,0
Patrick Ewing,/players/e/ewingpa01.html,ewingpa01,21.0,Jamaica,JM,,Kingston,1986,2002,Massachusetts,Cambridge,Cambridge Rindge & Latin,11
Omari Johnson,/players/j/johnsom01.html,johnsom01,5.5,Jamaica,JM,,Kingston,2018,2018,California,Los Angeles,Dorsey,0
Jerome Jordan,/players/j/jordaje01.html,jordaje01,2.8,Jamaica,JM,,Kingston,2012,2015,Florida,Melbourne,Florida Air Academy,0
Rumeal Robinson,/players/r/robinru01.html,robinru01,7.6,Jamaica,JM,,Mandeville,1991,1997,Massachusetts,Cambridge,Cambridge Rindge & Latin,0
Samardo Samuels,/players/s/samuesa01.html,samuesa01,5.9,Jamaica,JM,,Trelawny,2011,2013,New Jersey,Newark,Saint Benedict's Preparatory School,0
Wayne Sappleton,/players/s/sapplwa01.html,sapplwa01,2.9,Jamaica,JM,,Kingston,1985,1985,,,,0
Gary Voce,/players/v/vocega01.html,vocega01,2.0,Jamaica,JM,,N/A,1990,1990,New York,Bronx,Saint Nicholas of Tolentine,0
Rui Hachimura,/players/h/hachiru01.html,hachiru01,13.4,Japan,JP,,Toyama,2020,2020,,,,0
Yuta Tabuse,/players/t/tabusyu01.html,tabusyu01,1.8,Japan,JP,,Yokohama,2005,2005,,,,0
Yuta Watanabe,/players/w/watanyu01.html,watanyu01,2.2,Japan,JP,,Kagawa,2019,2020,Connecticut,Oakdale,St. Thomas More School,0
Dairis Bertāns,/players/b/bertada02.html,bertada02,2.8,Latvia,LV,,Valmiera,2019,2019,,,,0
Dāvis Bertāns,/players/b/bertada01.html,bertada01,8.0,Latvia,LV,,Valmiera,2017,2020,,,,0
Andris Biedriņš,/players/b/biedran01.html,biedran01,6.3,Latvia,LV,,Riga,2005,2014,,,,0
Rodions Kurucs,/players/k/kurucro01.html,kurucro01,6.8,Latvia,LV,,Cesis,2019,2020,,,,0
Anžejs Pasečņiks,/players/p/pasecan01.html,pasecan01,6.0,Latvia,LV,,Riga,2020,2020,,,,0
Kristaps Porziņģis,/players/p/porzikr01.html,porzikr01,18.1,Latvia,LV,,Liepaja,2016,2020,,,,1
Gundars Vētra,/players/v/vetragu01.html,vetragu01,3.5,Latvia,LV,,Ventspils,1993,1993,,,,0
Steve Kerr,/players/k/kerrst01.html,kerrst01,6.0,Lebanon,LB,,Beirut,1989,2003,California,Pacific Palisades,Pacific Palisades,0
Rony Seikaly,/players/s/seikaro01.html,seikaro01,14.7,Lebanon,LB,,Beirut,1989,1999,,,,0
Martynas Andriuškevičius,/players/a/andrima01.html,andrima01,0.0,Lithuania,LT,,Kaunas,2006,2006,,,,0
Ignas Brazdeikis,/players/b/brazdig01.html,brazdig01,1.9,Lithuania,LT,,Kaunas,2020,2020,,,,0
Zydrunas Ilgauskas,/players/i/ilgauzy01.html,ilgauzy01,13.0,Lithuania,LT,,Kaunas,1998,2011,,,,2
Šarūnas Jasikevičius,/players/j/jasiksa01.html,jasiksa01,6.8,Lithuania,LT,,Kaunas,2006,2007,Pennsylvania,Quarryville,Solanco,0
Linas Kleiza,/players/k/kleizli01.html,kleizli01,8.7,Lithuania,LT,,Kaunas,2006,2013,Maryland,Rockville,Montrose Christian School,0
Mindaugas Kuzminskas,/players/k/kuzmimi01.html,kuzmimi01,6.2,Lithuania,LT,,Vilnius,2017,2018,,,,0
Arvydas Macijauskas,/players/m/macijar01.html,macijar01,2.3,Lithuania,LT,,Klaipeda,2006,2006,,,,0
Šarūnas Marčiulionis,/players/m/marcisa01.html,marcisa01,12.8,Lithuania,LT,,Kaunas,1990,1997,,,,0
Donatas Motiejūnas,/players/m/motiedo01.html,motiedo01,7.3,Lithuania,LT,,Kaunas,2013,2019,,,,0
Arvydas Sabonis,/players/s/sabonar01.html,sabonar01,12.0,Lithuania,LT,,Kaunas,1996,2003,,,,0
Darius Songaila,/players/s/songada01.html,songada01,6.9,Lithuania,LT,,Marijampole,2004,2011,New Hampshire,New Hampton,New Hampton School,0
Jonas Valančiūnas,/players/v/valanjo01.html,valanjo01,12.4,Lithuania,LT,,Utena,2013,2020,,,,0
Alvin Jones,/players/j/jonesal01.html,jonesal01,1.1,Luxembourg,LU,,Luxembourg,2002,2002,Florida,Lakeland,Kathleen,0
Cheick Diallo,/players/d/diallch01.html,diallch01,5.3,Mali,ML,,Kayes,2017,2020,New York,Centereach,New American,0
Soumaila Samake,/players/s/samakso01.html,samakso01,1.4,Mali,ML,,Bougouni,2001,2003,,,,0
Ronny Turiaf,/players/t/turiaro01.html,turiaro01,4.7,Martinique,MQ,,Le Robert,2006,2015,,,,0
Gustavo Ayón,/players/a/ayongu01.html,ayongu01,4.7,Mexico,MX,,Tepic,2012,2014,,,,0
Jorge Gutiérrez,/players/g/gutiejo01.html,gutiejo01,2.9,Mexico,MX,,Chihuahua,2014,2016,Nevada,Henderson,Findlay Prep,0
Horacio Llamas Grey,/players/l/llamaho01.html,llamaho01,2.1,Mexico,MX,,El Rosario,1997,1998,,,,0
Eduardo Nájera,/players/n/najered01.html,najered01,4.9,Mexico,MX,,Meoqui,2001,2012,Texas,San Antonio,Cornerstone Christian Academy,0
Predrag Drobnjak,/players/d/drobnpr01.html,drobnpr01,7.9,Montenegro,ME,,Bijelo Polje,2002,2005,,,,0
Nikola Mirotić,/players/m/mirotni01.html,mirotni01,12.3,Montenegro,ME,,Podgorica,2015,2019,,,,0
Žarko Paspalj,/players/p/paspaza01.html,paspaza01,2.6,Montenegro,ME,,Pljevlja,1990,1990,,,,0
Sasha Pavlović,/players/p/pavloal01.html,pavloal01,4.9,Montenegro,ME,,Bar,2004,2013,,,,0
Nikola Peković,/players/p/pekovni01.html,pekovni01,12.6,Montenegro,ME,,Bijelo Polje,2011,2016,,,,0
Aleksandar Radojević,/players/r/radojal01.html,radojal01,1.7,Montenegro,ME,,Herceg Novi,2000,2005,,,,0
Mike Flynn,/players/f/flynnmi01.html,flynnmi01,6.2,Morocco,MA,,Casablanca,1976,1978,Indiana,Jeffersonville,Jeffersonville,0
Hank Beenders,/players/b/beendha01.html,beendha01,8.4,Netherlands,NL,,Haarlem,1947,1949,New Jersey,North Plainfield,North Plainfield,0
Francisco Elson,/players/e/elsonfr01.html,elsonfr01,3.7,Netherlands,NL,,Rotterdam,2004,2012,,,,0
Dan Gadzuric,/players/g/gadzuda01.html,gadzuda01,4.7,Netherlands,NL,,Den Haag,2003,2012,Massachusetts,Byfield,Governor Dummer Academy,0
